Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW
StarLightCurves 28 97.62655782699585 19.929037713179447 0.9239229435343109 0.02923794036759455 0.4561503143670403 0.0006227026794912015
Earthquakes 87 259.03083419799805 31.64449468822692 8.934257507993554 11.973464909420748 42.90359600981042 95.64302355837376
SemgHandMovementCh2 1319 5982.4668736457825 178.88406666477889 9.247964455470758 5.001040488325941 22.996865301928484 12.999104791048975
InlineSkate 21 31.23575472831726 86.87979672509935 8.867813199381276 0.3377597242180949 76.74638340309075 0.03878087831568559
WormsTwoClass 131 377.17318391799927 95.44740403925081 3.704991703983616 0.41507900050699686 9.031635843087528 0.02979659925109882
OliveOil 54 168.2343099117279 19.225363485575485 1.4712471715418005 0.1896755285782264 1.8289247461482734 0.032866579451070806
Meat 30 63.81602597236633 7.913940463431411 1.518886078969577 0.12947898125231988 2.20752655525226 0.013509376809464443
MixedShapesSmallTrain 40 117.54772162437439 23.400488023658912 1.286775273117647 0.16408706192213565 0.12354575671704375 0.01396716486593118
ToeSegmentation1 130 448.6900041103363 51.66252445505736 2.6767101614195417 1.3062002309380443 3.6665480336835428 0.552628660706
Rock 23 31.629485368728638 10.421112792794384 1.8107557825253071 0.41403561250837123 3.278836503948837 0.155841275333598
AllGestureWiimoteX 177 300.83363819122314 120.14458236283342 7.724613940026412 4.461370223313609 44.61178547124183 10.066615468315826
PickupGestureWiimoteZ 133 229.0701355934143 179.1799789410698 11.888862678234672 2.8207173763959634 100.91747142705051 4.885285956594112
Haptics 51 158.87935781478882 75.36990844313137 5.430616541470326 7.279739974226661 27.1150846672208 52.972268491582135
OSULeaf 40 101.1387927532196 167.62433288345022 18.560841049997887 1.0714046018275114 140.93428307906 1.0549734291174622
SmallKitchenAppliances 23 28.91543984413147 32.20896382218956 0.301780794917895 0.009608445617818926 0.09107164818127661 9.232222719058369e-05
MixedShapesRegularTrain 40 115.64481949806213 23.400488023658912 1.286775273117647 0.16408706192213565 0.12354575671704375 0.01396716486593118
FordB 213 500.80265760421753 153.87989050431767 13.545260032236476 3.897941736113211 11.712589698179057 1.7578829808055354
LargeKitchenAppliances 23 50.69460582733154 91.31783298073395 20.126642508478163 12.45609126220102 363.2160575813332 135.9341604013387
RefrigerationDevices 450 1690.9290821552277 48.36618600526774 3.2815044812460457 3.4636770693004215 5.528495981590369 2.309043197243547
NonInvasiveFetalECGThorax2 98 245.22235989570618 90.9366605568083 7.97785001547222 0.8119325685143305 58.85973399678129 0.6059961709742412
Mallat 76 166.48081016540527 29.77760562611081 2.14970598974244 0.12310168372523747 3.5827135128088408 0.010735931660005206
ACSF1 1057 983.7540438175201 0.7809908871531467 0.0740676071575464 0.0782569307429596 0.00548601043004462 0.006124147209308376
Beef 61 229.066978931427 10.8404815335202 1.9021619430195937 0.33498017083286125 3.3189696414461367 0.04753756677991236
ScreenType 156 267.5210211277008 5.01107676701051 0.7451966548124545 1.146705579029562 0.28015451932744784 0.5985148847554336
DodgerLoopWeekend 206 428.2260043621063 85.08512009188634 5.845676969231912 6.246838463344316 11.317877142822981 14.111355913804047
Lightning7 189 376.1486623287201 25.344011279602498 1.5781240202932199 1.041867712359106 0.553048914867389 0.6275332937983615
Trace 22 35.998698711395264 150.33970543171492 5.487224666734183 0.4580930847875606 24.33178261387307 0.10469865563516774
Worms 131 377.60658621788025 95.44740403925081 3.704991703983616 0.41507900050699686 9.031635843087528 0.02979659925109882
GesturePebbleZ1 24 47.22985219955444 174.8069090253051 8.419232969137767 4.152171359082398 51.53863372545492 16.77189220520648
CinCECGTorso 107 323.72551679611206 14.587404386313786 0.5835904795455117 0.14091092606746164 0.2437199864395429 0.013139861239933014
Strawberry 32 66.14124059677124 69.11207546443562 9.005346260017012 0.43137739623609744 59.33201746871515 0.06089130555719701
HouseTwenty 131 381.34773564338684 93.33808392569956 15.902906159853323 2.9515779307489116 252.19154037847528 8.636333379075294
Wine 29 72.306077003479 52.0952684331525 5.442693575050552 0.6209703452164544 23.708557600903017 0.20413648393549136
UMD 30 61.59454655647278 106.93137692051326 5.708537232500719 0.9816250935587262 29.180001731665577 0.5725975642304278
PigCVP 814 2768.593097925186 72.14427211304398 8.36995070542973 0.7419286901474864 59.55797173985154 0.21025445435222534
