Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW
StarLightCurves 974 1024.4146766662598 27.45700279292867 1.2533910174726566 0.056992147901714196 0.9716022301096288 0.002395817012633562
Earthquakes 462 1325.8192899227142 97.7949885623524 3.5407068896216005 4.969838570031389 12.52204391063334 24.66718479291533
SemgHandMovementCh2 1450 6849.785284280777 101.60699392873974 3.2562674707341173 4.467346531615107 2.6295863121157006 6.743399383047647
InlineSkate 1832 1355.6422562599182 70.88244515136473 2.240579235388084 0.10837640237641052 5.017475110035775 0.010657864458060386
WormsTwoClass 850 1080.0016694068909 181.60436595460007 4.584465538331393 0.2830723843742935 12.424041996261558 0.051570769375674466
OliveOil 520 614.1125433444977 8.42379309043241 0.5769155361090255 0.01677195186064562 0.33169127838303925 2.7534105936202452e-05
Meat 398 518.5922770500183 2.8711149463077 0.3287317435098439 0.01792204181270562 0.10131597795305848 4.748770445010094e-05
MixedShapesSmallTrain 974 719.8997821807861 7.577067972564924 0.49476618023322955 0.13725883305003328 0.19005355044369635 0.016791237055223767
ToeSegmentation1 227 406.7863562107086 43.25907055646188 2.374930332387675 1.0440381838194055 4.982112515015824 1.0603805208765542
Rock 2794 6580.412201881409 17.205913504241373 2.6635063416576674 0.4131311382964672 7.094266032050612 0.1703876289862085
AllGestureWiimoteX 276 1082.3670811653137 75.19617569414076 1.5353166196693246 1.2137047563767942 2.0852270936709014 1.0251300486336343
PickupGestureWiimoteZ 217 255.1446590423584 144.25914919032397 2.3402445078810636 0.778655415478585 3.15117159839025 0.591558091777639
Haptics 1042 1427.2711148262024 110.40589866423007 14.75641370690727 7.29552412834957 64.75716296591183 52.917798992782
OSULeaf 377 358.54156017303467 114.78761877620836 6.792742421115202 1.5443124952346978 21.31069077712196 1.2598840605941375
SmallKitchenAppliances 670 618.4621288776398 27.55327009474361 5.729925847739766 6.087214985239516 32.83205022059628 37.05418627652452
MixedShapesRegularTrain 974 741.2658357620239 7.577067972564924 0.49476618023322955 0.13725883305003328 0.19005355044369635 0.016791237055223767
FordB 450 475.7302782535553 155.66015243131073 14.794461723629393 3.2073421896432985 153.98534153382587 5.0888886021479545
LargeKitchenAppliances 670 1297.9993200302124 92.49985901342149 19.9422878489667 12.21676605363507 397.56917614364045 149.118932315434
RefrigerationDevices 670 1563.1989133358002 24.234422709263132 2.773287930202697 3.0102612819513066 1.3987077497362517 2.0723182457434786
NonInvasiveFetalECGThorax2 700 1614.225831747055 86.00415425914214 7.789672158283852 0.856331889059697 60.425555606980794 0.7297211884010665
Mallat 974 1334.7937505245209 6.663644793402506 0.560098332836677 0.04275489597089203 0.2180536704812021 0.0015249538077586416
ACSF1 1410 2296.7413268089294 5.425454940876696 0.27299823429281317 0.312111515963243 0.07452803592699372 0.09741359839687364
Beef 420 476.91889929771423 101.42077127436494 14.195908419481734 0.8247787317846826 200.2439403179481 0.5277765350464725
ScreenType 670 897.2165110111237 9.407695844884703 0.7769092809057201 0.9414721289850101 0.6035880307574429 0.8779967855802344
DodgerLoopWeekend 238 750.6150078773499 186.26140214025216 10.726503278605458 5.827962529881895 69.670568516003 16.323035781962897
Lightning7 269 1020.5872013568878 33.48936451489274 2.3086444283071823 0.8101415709308479 4.930803710417383 0.579383333872319
Trace 225 336.1803820133209 50.39439104992932 2.3716054034514937 0.3126673304595017 1.7182566895483673 0.09450512919350236
Worms 850 1068.9927999973297 181.60436595460007 4.584465538331393 0.2830723843742935 12.424041996261558 0.051570769375674466
GesturePebbleZ1 100 182.038676738739 178.8282219649028 7.797462282946674 4.0132696202324265 59.3383147430132 16.059947272878055
CinCECGTorso 1589 1769.8678164482117 45.06624961962331 1.7533494910604477 0.15523512397174402 2.2108242720986295 0.022106509792339392
Strawberry 185 320.9291977882385 15.162104844627095 1.1196665223148585 0.2032481108719382 1.2188991556284103 0.03904898710959903
HouseTwenty 1950 3658.5775876045227 20.441541197462538 0.5396110650281934 0.03429707687539108 0.27315390235459736 0.0010172607636268782
Wine 184 131.73402428627014 148.90143793809779 11.833402777279765 1.4313196760888798 61.961070078229916 1.0993972319198273
UMD 100 175.456134557724 178.77473292501912 11.902483439295697 0.971087715373244 137.37458102569067 0.4885564237792714
PigCVP 1950 2683.262893676758 142.84154263798274 5.722111889398778 0.7393227230078483 18.47106937244169 0.3978600481484009
