Dataset Length Time sMAPE Euclidean diff_Euclidean DTW diff_DTW
StarLightCurves 28 46.12467432022095 1.8293260179632258 0.09675058074133638 0.01616140009938275 0.007020544519728468 0.0002495276024109085
Earthquakes 87 307.29612946510315 109.26940744227021 13.946761214652867 10.531653588408382 42.79831098845523 81.81468356940634
SemgHandMovementCh2 1319 3639.3243544101715 192.2497781971456 10.810121110867 3.4616518627805246 25.975755233171753 5.827050855358046
InlineSkate 21 30.356271982192993 16.661349119055007 0.7309843845807317 0.09400190746131885 0.501937634524885 0.005727057441061529
WormsTwoClass 131 301.72158455848694 81.80137550615704 6.805696625819175 0.4908330065820221 46.25840690001566 0.0736697242952732
OliveOil 54 167.9405243396759 14.262758644532207 1.249533041139289 0.10750730681261829 1.190231299982335 0.009298248677709545
Meat 30 80.62906455993652 49.829309608714 4.872009580759333 0.3474657717712742 23.710955004738224 0.1166169246460965
MixedShapesSmallTrain 40 128.41418147087097 28.253029186933617 1.6731723150804305 0.14649186476774387 2.6962889790526936 0.013907360073860283
ToeSegmentation1 130 489.6481246948242 58.93444346121074 3.9152931685854746 1.3105225177844688 7.316161843840231 0.6790905551791321
Rock 23 30.044344425201416 8.953019595658468 1.614274033081663 0.4134939676229746 2.605880653881738 0.15925681262626423
AllGestureWiimoteX 177 521.33176445961 176.14821686235848 5.356035049286656 2.222170267628214 14.012576945369991 1.62485041334265
PickupGestureWiimoteZ 133 278.42520117759705 200.0 13.940733583926521 3.3828293553371402 168.79674135878795 7.169554737959629
Haptics 51 138.9235498905182 80.80676646417282 5.3424120737766145 7.279940585744964 27.609235092902097 52.97649203183638
OSULeaf 40 115.93661403656006 147.27208947066495 16.55614361200804 1.269094093142794 253.5329498309108 1.2925967237295306
SmallKitchenAppliances 23 51.53569746017456 32.20896382218956 0.301780794917895 0.009608445617818926 0.09107164818127661 9.232222719058369e-05
MixedShapesRegularTrain 40 93.02775645256042 21.268892133144174 1.1894318946556808 0.17336924596267592 0.14068560710760464 0.011983645024817812
FordB 213 769.1526854038239 152.7098757523922 20.458149235090943 3.871899548838479 98.08117479004244 3.7244471001319317
LargeKitchenAppliances 23 102.91032767295837 91.31783298073395 20.126642508478163 12.45609126220102 363.2160575813332 135.9341604013387
RefrigerationDevices 450 1489.1637797355652 147.33264463758732 11.535388589865525 6.317787525959161 34.86512157837796 6.386324525868351
NonInvasiveFetalECGThorax2 98 169.51761770248413 83.59701388814061 6.487805345946776 0.7813694228105262 37.96423464458934 0.5328475157644464
Mallat 76 199.85283279418945 35.84004952447694 5.212379305116858 0.46951539914908563 26.850312320442946 0.21445770819770962
ACSF1 1057 1025.0919873714447 0.7809908871531467 0.0740676071575464 0.0782569307429596 0.00548601043004462 0.006124147209308376
Beef 61 182.36335015296936 27.803827845649124 3.978784266111453 0.2637054881427991 15.182891294766272 0.023658393012487906
ScreenType 156 430.0643467903137 6.060359875618953 0.8027743740793686 1.1409550697645847 0.3480418608226 0.5982694687840583
DodgerLoopWeekend 206 661.8193490505219 131.91017157570067 6.20156938411134 7.0592656306097785 11.950803012593852 14.089764912892083
Lightning7 189 635.9483051300049 63.321334742511965 6.296674433010246 2.4748371721578395 16.953802272858848 3.011563735048797
Trace 22 63.69744062423706 97.81769254922486 4.3782121675503545 0.512909015499804 9.005970622428727 0.11181783112804297
Worms 131 285.4725453853607 98.62877838138945 5.742786760336287 0.3467394390809256 22.3687903013428 0.02183698500261532
GesturePebbleZ1 24 60.56299591064453 174.8069090253051 8.419232969137767 4.152171359082398 51.53863372545492 16.77189220520648
